Ano,Mês,Grupo Mercadoria,Carga Ferroviária
2012,3,"Setor Agrícola, Extração Vegetal e Celulose",4185928
2012,3,"Indústria Siderúrgica, Cimento e Construção Civil",3730453
2012,3,Outras Mercadorias,234776
2012,3,"Combustíveis, Derivados do Petróleo e Álcool",808640
2012,3,Minério de Ferro,26583586
2012,4,"Setor Agrícola, Extração Vegetal e Celulose",4317815
2012,4,Outras Mercadorias,201893
2012,4,"Combustíveis, Derivados do Petróleo e Álcool",794068
2012,4,"Indústria Siderúrgica, Cimento e Construção Civil",3856775
2012,4,Minério de Ferro,28251518
2012,5,Outras Mercadorias,237123
2012,5,Minério de Ferro,29009260
2012,5,"Indústria Siderúrgica, Cimento e Construção Civil",3972206
2012,5,"Setor Agrícola, Extração Vegetal e Celulose",4751161
2012,5,"Combustíveis, Derivados do Petróleo e Álcool",867451
2012,6,Minério de Ferro,29163553
2012,6,Outras Mercadorias,229827
2012,6,"Combustíveis, Derivados do Petróleo e Álcool",835035
2012,6,"Setor Agrícola, Extração Vegetal e Celulose",4398862
2012,6,"Indústria Siderúrgica, Cimento e Construção Civil",3828819
2012,7,"Indústria Siderúrgica, Cimento e Construção Civil",3985207
2012,7,Outras Mercadorias,239490
2012,7,"Setor Agrícola, Extração Vegetal e Celulose",4989236
2012,7,Minério de Ferro,29697405
2012,7,"Combustíveis, Derivados do Petróleo e Álcool",894687
2012,8,Minério de Ferro,30930417
2012,8,"Setor Agrícola, Extração Vegetal e Celulose",5170663
2012,8,"Indústria Siderúrgica, Cimento e Construção Civil",3922406
2012,8,Outras Mercadorias,221223
2012,8,"Combustíveis, Derivados do Petróleo e Álcool",888861
2012,9,Minério de Ferro,29086823
2012,9,"Indústria Siderúrgica, Cimento e Construção Civil",3860322
2012,9,Outras Mercadorias,218711
2012,9,"Combustíveis, Derivados do Petróleo e Álcool",860314
2012,9,"Setor Agrícola, Extração Vegetal e Celulose",4857170
2012,10,"Setor Agrícola, Extração Vegetal e Celulose",4900530
2012,10,"Combustíveis, Derivados do Petróleo e Álcool",879103
2012,10,"Indústria Siderúrgica, Cimento e Construção Civil",4037431
2012,10,Outras Mercadorias,235642
2012,10,Minério de Ferro,31121788
2012,11,"Combustíveis, Derivados do Petróleo e Álcool",878067
2012,11,Outras Mercadorias,214121
2012,11,"Setor Agrícola, Extração Vegetal e Celulose",4512913
2012,11,Minério de Ferro,27682388
2012,11,"Indústria Siderúrgica, Cimento e Construção Civil",3648546
2012,12,Minério de Ferro,30448866
2012,12,"Indústria Siderúrgica, Cimento e Construção Civil",3543536
2012,12,"Setor Agrícola, Extração Vegetal e Celulose",4146914
2012,12,Outras Mercadorias,196849
2012,12,"Combustíveis, Derivados do Petróleo e Álcool",781029
2013,1,Outras Mercadorias,233711
2013,1,"Combustíveis, Derivados do Petróleo e Álcool",809367
2013,1,"Indústria Siderúrgica, Cimento e Construção Civil",3161332
2013,1,"Setor Agrícola, Extração Vegetal e Celulose",3583181
2013,1,Minério de Ferro,25837836
2013,2,Outras Mercadorias,208675
2013,2,Minério de Ferro,23338529
2013,2,"Indústria Siderúrgica, Cimento e Construção Civil",3157285
2013,2,"Setor Agrícola, Extração Vegetal e Celulose",3482452
2013,2,"Combustíveis, Derivados do Petróleo e Álcool",722853
2013,3,Minério de Ferro,25983421
2013,3,"Setor Agrícola, Extração Vegetal e Celulose",4429090
2013,3,"Indústria Siderúrgica, Cimento e Construção Civil",3622531
2013,3,Outras Mercadorias,260629
2013,3,"Combustíveis, Derivados do Petróleo e Álcool",809042
2013,4,Minério de Ferro,25676411
2013,4,"Combustíveis, Derivados do Petróleo e Álcool",773525
2013,4,"Indústria Siderúrgica, Cimento e Construção Civil",3509143
2013,4,Outras Mercadorias,253768
2013,4,"Setor Agrícola, Extração Vegetal e Celulose",4536564
2013,5,"Indústria Siderúrgica, Cimento e Construção Civil",3551899
2013,5,Outras Mercadorias,273310
2013,5,"Combustíveis, Derivados do Petróleo e Álcool",821880
2013,5,"Setor Agrícola, Extração Vegetal e Celulose",4902223
2013,5,Minério de Ferro,27635876
2013,6,"Combustíveis, Derivados do Petróleo e Álcool",796522
2013,6,"Indústria Siderúrgica, Cimento e Construção Civil",3530149
2013,6,"Setor Agrícola, Extração Vegetal e Celulose",4663955
2013,6,Outras Mercadorias,253983
2013,6,Minério de Ferro,28745314
2013,7,Minério de Ferro,29540206
2013,7,Outras Mercadorias,268056
2013,7,"Combustíveis, Derivados do Petróleo e Álcool",836461
2013,7,"Setor Agrícola, Extração Vegetal e Celulose",4694620
2013,7,"Indústria Siderúrgica, Cimento e Construção Civil",3783145
2013,8,"Indústria Siderúrgica, Cimento e Construção Civil",3868692
2013,8,Outras Mercadorias,294243
2013,8,Minério de Ferro,31831139
2013,8,"Combustíveis, Derivados do Petróleo e Álcool",860904
2013,8,"Setor Agrícola, Extração Vegetal e Celulose",5290994
2013,9,"Combustíveis, Derivados do Petróleo e Álcool",816010
2013,9,Outras Mercadorias,263584
2013,9,Minério de Ferro,32230092
2013,9,"Setor Agrícola, Extração Vegetal e Celulose",4833343
2013,9,"Indústria Siderúrgica, Cimento e Construção Civil",3746065
2013,10,"Indústria Siderúrgica, Cimento e Construção Civil",4062991
2013,10,Minério de Ferro,31402567
2013,10,Outras Mercadorias,282657
2013,10,"Combustíveis, Derivados do Petróleo e Álcool",867413
2013,10,"Setor Agrícola, Extração Vegetal e Celulose",4819196
2013,11,Minério de Ferro,31157979
2013,11,Outras Mercadorias,257037
2013,11,"Indústria Siderúrgica, Cimento e Construção Civil",3621303
2013,11,"Setor Agrícola, Extração Vegetal e Celulose",4328285
2013,11,"Combustíveis, Derivados do Petróleo e Álcool",785775
2013,12,Outras Mercadorias,225818
2013,12,"Setor Agrícola, Extração Vegetal e Celulose",4193316
2013,12,"Combustíveis, Derivados do Petróleo e Álcool",631614
2013,12,"Indústria Siderúrgica, Cimento e Construção Civil",3443662
2013,12,Minério de Ferro,27891009
2014,1,"Setor Agrícola, Extração Vegetal e Celulose",3076913
2014,1,Minério de Ferro,28834620
2014,1,"Indústria Siderúrgica, Cimento e Construção Civil",3256434
2014,1,"Combustíveis, Derivados do Petróleo e Álcool",714743
2014,1,Outras Mercadorias,238215
2014,2,"Setor Agrícola, Extração Vegetal e Celulose",3620417
2014,2,"Indústria Siderúrgica, Cimento e Construção Civil",3003105
2014,2,Minério de Ferro,23976858
2014,2,Outras Mercadorias,248152
2014,2,"Combustíveis, Derivados do Petróleo e Álcool",714354
2014,3,Minério de Ferro,28410537
2014,3,"Indústria Siderúrgica, Cimento e Construção Civil",3163336
2014,3,"Setor Agrícola, Extração Vegetal e Celulose",4819733
2014,3,Outras Mercadorias,276527
2014,3,"Combustíveis, Derivados do Petróleo e Álcool",747761
2014,4,"Indústria Siderúrgica, Cimento e Construção Civil",3221297
2014,4,Minério de Ferro,26244081
2014,4,"Combustíveis, Derivados do Petróleo e Álcool",759870
2014,4,"Setor Agrícola, Extração Vegetal e Celulose",4819051
2014,4,Outras Mercadorias,280247
2014,5,"Indústria Siderúrgica, Cimento e Construção Civil",3575490
2014,5,"Combustíveis, Derivados do Petróleo e Álcool",828087
2014,5,"Setor Agrícola, Extração Vegetal e Celulose",5059017
2014,5,Outras Mercadorias,305233
2014,5,Minério de Ferro,31620339
2014,6,Outras Mercadorias,283485
2014,6,"Setor Agrícola, Extração Vegetal e Celulose",4766223
2014,6,"Indústria Siderúrgica, Cimento e Construção Civil",3341230
2014,6,Minério de Ferro,30058035
2014,6,"Combustíveis, Derivados do Petróleo e Álcool",795390
2014,7,Minério de Ferro,30216448
2014,7,"Setor Agrícola, Extração Vegetal e Celulose",5287546
2014,7,"Indústria Siderúrgica, Cimento e Construção Civil",3354285
